Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
12/6/2000,1461,1472,1451,1452.75
6/13/2000,1442,1449,1430,1438.75
6/14/2000,1455,1463.1,1444.1,1449.5
6/15/2000,1445,1455,1436,1448.7
6/16/2000,1456.7,1478.9,1452,1476.3
6/19/2000,1482,1508,1479,1497.65
6/20/2000,1523,1523,1500,1513.95
6/21/2000,1518.95,1519,1485,1486.15
6/22/2000,1483.1,1499,1474,1493.35
6/23/2000,1495,1499,1475,1477.7
6/26/2000,1471,1472,1444,1462
6/27/2000,1465,1467,1455,1455.9
6/28/2000,1456,1469.9,1456,1469.75
6/29/2000,1485,1499.9,1485,1490.35
6/30/2000,1487,1495,1480,1484.55
7/3/2000,1490.5,1503,1490,1501.25
7/4/2000,1502,1515,1499.5,1514.4
7/5/2000,1522,1527,1512.05,1522.7
7/6/2000,1510,1521,1510,1517.9
7/7/2000,1520,1523,1514.75,1517.7
7/10/2000,1524.4,1524.4,1506.5,1509.4
7/11/2000,1517,1520.5,1508,1518.95
7/12/2000,1513.25,1538.5,1510.5,1536.5
7/13/2000,1542,1564,1520,1523.2
7/14/2000,1526,1532,1508.05,1511.9
7/17/2000,1513.5,1513.5,1482.05,1483.35
7/18/2000,1484.5,1484.8,1465,1466.05
7/19/2000,1470,1471.5,1443,1444
7/20/2000,1441.1,1450,1425,1431.65
7/21/2000,1443,1443,1401,1407.6
7/24/2000,1390,1390,1318,1323
7/25/2000,1290,1364.9,1280,1350.9
7/26/2000,1358.85,1370,1312,1316.85
7/27/2000,1320,1339,1301,1336.8
7/28/2000,1350,1370,1348,1349.55
7/31/2000,1342,1352,1340,1347.75
8/1/2000,1353.15,1355,1340,1344
8/2/2000,1337,1347,1326,1344.45
8/3/2000,1340,1350,1330,1330.1
8/4/2000,1333,1340,1315,1328.05
8/7/2000,1325.5,1329,1314,1322.95
8/8/2000,1328,1358.9,1328,1353.5
8/9/2000,1362,1378,1356.05,1356.1
