Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
12/6/2000,1461.000000,1472.000000,1451.000000,1452.750000,1452.750000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/13/2000,1442.000000,1449.000000,1430.000000,1438.750000,1438.750000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/14/2000,1455.000000,1463.100000,1444.100000,1449.500000,1449.500000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/15/2000,1445.000000,1455.000000,1436.000000,1448.700000,1448.700000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/16/2000,1456.700000,1478.900000,1452.000000,1476.300000,1476.300000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/19/2000,1482.000000,1508.000000,1479.000000,1497.650000,1497.650000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/20/2000,1523.000000,1523.000000,1500.000000,1513.950000,1513.950000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/21/2000,1518.950000,1519.000000,1485.000000,1486.150000,1486.150000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/22/2000,1483.100000,1499.000000,1474.000000,1493.350000,1493.350000,,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/23/2000,1495.000000,1499.000000,1475.000000,1477.700000,1477.700000,1473.480000,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/26/2000,1471.000000,1472.000000,1444.000000,1462.000000,1462.000000,1474.405000,,,1000000.000000,,,1000000.000000,,1000000.000000,,1000000.000000,
6/27/2000,1465.000000,1467.000000,1455.000000,1455.900000,1455.900000,1476.120000,-1.000000,-0.004172,995827.633379,0.000000,0.004172,1004172.366621,0.000000,995827.633379,0.000000,1004172.366621,0.000000
6/28/2000,1456.000000,1469.900000,1456.000000,1469.750000,1469.750000,1478.145000,-1.000000,0.009513,1005300.957592,0.000000,-0.009513,994619.658827,0.000000,1005300.957592,0.000000,994619.658827,0.000000
6/29/2000,1485.000000,1499.900000,1485.000000,1490.350000,1490.350000,1482.310000,-1.000000,0.014016,1019391.244870,19391.244870,-0.014016,980679.080516,-19320.919484,1019391.244870,19391.244870,980679.080516,-19320.919484
